source_id,authority,source_type,title,url,publication_date,access_datetime,extraction_datetime,locator,content_sha256,language,verification_status,is_primary,notes
src-cec-election-date,central_elections_committee,web_page,ציר הזמן לפעולות ועדת הבחירות המרכזית,https://www.gov.il/he/departments/dynamiccollectors/election-timeline26,2026-07-15,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,כותרת העמוד ושורת מועד הבחירות,,he,verified,true,העמוד מציין את 27 באוקטובר 2026 ואת ט״ז בחשוון תשפ״ז
src-party-financing-law,gov_ministry,web_page,חוק מימון מפלגות והגדרת היום הקובע,https://www.gov.il/apps/elections/elections-knesset-16/heb/laws/party_money.html,,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,הגדרת היום הקובע והיום ה-101 לפני הבחירות,,he,verified,true,מקור ממשלתי מאורכב להגדרת התקופה; אימות משפטי עדכני נכלל ברשימת הבדיקה
src-knesset-financing-46,knesset,web_page,אושר סופית תיקון מס׳ 46 לחוק מימון מפלגות,https://main.knesset.gov.il/News/PressReleases/Pages/press17072026w.aspx,2026-07-17,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,הודעת הכנסת על הוראת השעה לבחירות לכנסת ה-26,,he,verified,true,
src-comptroller-financing-portal,state_comptroller,web_page,מידע לציבור על תרומות ערבויות והלוואות,https://www.mevaker.gov.il/state-audit/elections/donations,,2026-07-27T17:47:44+03:00,2026-07-27T17:47:44+03:00,כותרת העמוד ההסבר על אחריות המדווחים והקישור למערכת מפלגות,,he,verified,true,עמוד הכניסה מבהיר שהנתונים מבוססים על דיווחי המפלגות ומופיעים ללא עיבוד המשרד
src-knesset-factions25,knesset,web_page,הסיעות בכנסת ה-25,https://main.knesset.gov.il/mk/apps/faction/faction-lobby?FactionID=1101&KnessetID=25,,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,רשימת הסיעות המכהנות,,he,verified,true,
src-poll-n12-2026-07-06,reference_only,web_page,סקר חדשות 12 מיום 6 ביולי 2026,https://www.mako.co.il/news-israel-elections/2026/Article-773dc6853083f91027.htm,2026-07-06,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,שורות 97–105 ותיאור המתודולוגיה,,he,verified,false,מקור זכאות בלבד ואסור לשימוש כמקור לרשומת מימון
src-poll-n12-2026-07-13,reference_only,web_page,סקר חדשות 12 מיום 13 ביולי 2026,https://www.mako.co.il/news-israel-elections/2026/Article-5ef5c111dfb5f91027.htm,2026-07-13,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,שורות 99–104 ותיאור המתודולוגיה,,he,verified,false,מקור זכאות בלבד ואסור לשימוש כמקור לרשומת מימון
src-poll-n12-2026-07-20,reference_only,web_page,סקר חדשות 12 מיום 20 ביולי 2026,https://www.mako.co.il/news-israel-elections/2026/Article-4f6f15b9d308f91027.htm,2026-07-20,2026-07-27T17:47:44+03:00,2026-07-27T17:47:44+03:00,תוצאות הסקר והמפלגות שמתחת לאחוז החסימה,,he,verified,false,מקור זכאות בלבד ואסור לשימוש כמקור לרשומת מימון
src-comptroller-party-statements-interelection,state_comptroller,db_record,מערכת פרסום תרומות ערבויות והלוואות של מפלגות,https://statements-p.mevaker.gov.il/publisher?electionType=Parties,,2026-07-27T18:37:00+03:00,2026-07-27T19:07:57+03:00,יצוא Excel מלא של 1194 רשומות לתקופה 02/11/2022–26/07/2026; 998 רשומות מופו לישויות הנכללות באתר,a0ec47a86e30682c82cf1ba6b8a64facefabd4942825ef151d65a4e0289aea9b,he,verified,true,המערכת מציינת שמוצגות תרומות בסכום של 1000 ש״ח ומעלה; הקובץ הרשמי המלא נשמר מקומית תחת private ומוחרג מ-Git; 196 רשומות של ישויות שאינן נכללות הוחרגו
src-idi-parties,reference_only,web_page,כל מערכות הבחירות והמפלגות בישראל,https://www.idi.org.il/policy/parties-and-elections/,,2026-07-27T16:00:00+03:00,2026-07-27T16:00:00+03:00,סקירות המפלגות והיסטוריית הבחירות,,he,verified,false,מקור מוסדי למתודולוגיית הציר בלבד
src-party-inclusion-policy,reference_only,web_page,מדיניות הכללת מפלגות,https://github.com/eDeveloperOZ/meeyfo-hakesef/blob/main/docs/policies/party-inclusion.md,,2026-07-27T19:15:12+03:00,2026-07-27T19:15:12+03:00,חריג בעלים גלוי למפלגה הכלכלית,,he,verified,false,הקישור אומת לאחר יצירת המאגר הציבורי
src-maya-angel-yaron-2024,tase,filing,שלמה א. אנג'ל בע״מ — דוח זימון אסיפה כללית,https://mayafiles.tase.co.il/rpdf/1597001-1598000/P1597705-00.pdf,2024-06-10,2026-07-27T18:23:33+03:00,2026-07-27T18:23:33+03:00,סעיף 3.2.1(א) בעמוד 6 — החזקות ירון אנג'ל,,he,verified,true,מקור לפרופיל עסקי בלבד ואינו מקור לרשומת המימון
src-maya-adi-marom-2021,tase,filing,אידומו בע״מ — דוח מיידי על שינוי בהחזקות בעל עניין,https://mayafiles.tase.co.il/RHtm/1418001-1419000/H1418013.htm,2021-12-14,2026-07-27T18:23:33+03:00,2026-07-27T18:23:33+03:00,שם המחזיק עדי מרום וביאור 1 — Global Village Advisory Ltd.,,he,verified,true,מקור לפרופיל עסקי בלבד ואינו מקור לרשומת המימון
src-eretzmuseum-amon-yariv,reference_only,web_page,אמון יריב — הבית לצילום במוז״א,https://hope.eretzmuseum.org.il/photographers/%D7%90%D7%9E%D7%95%D7%9F-%D7%99%D7%A8%D7%99%D7%91/,,2026-07-27T18:23:33+03:00,2026-07-27T18:23:33+03:00,פסקת הביוגרפיה — ניהול גלריה גורדון משנת 2004,,he,verified,false,ביוגרפיה מוסדית לפרופיל עסקי בלבד ואינה מקור לרשומת המימון
src-knesset-labor-democrats-rename,knesset,web_page,דיון ועדת הכנסת בבקשת שינוי שם סיעת העבודה לדמוקרטים,https://main.knesset.gov.il/News/PressReleases/pages/press25022025c.aspx,2025-02-25,2026-07-27T20:10:00+03:00,2026-07-27T20:10:00+03:00,הודעת הכנסת מצטטת כי מפלגת העבודה שינתה את שמה לדמוקרטים בעקבות מיזוג שתי מפלגות,,he,verified,true,מקור למיפוי שם הישות בלבד; הסיעה בכנסת נותרה בשם העבודה במועד ההודעה
